YEAR,TITLE,ACTOR,DIRECTOR,AVG RATING,NOMINATIONS,AWARDS,GROSS
1965,Three Rooms in Manhattan,Yes,Marcel Carné,#N/A,0,0,#N/A
1968,Greetings,Yes,Brian De Palma,8,0,0,#N/A
1968,The Young Wolves,Yes,Marcel Carné,8.8,0,0,#N/A
1969,The Wedding Party,Yes,Brian De Palma,3.0,0,0,#N/A
1969,Sam's Song aka The Swap,Yes,Jordan Leondopoulos,#N/A,0,0,#N/A
1970,Bloody Mama,Yes,Roger Corman,1.4,0,0,#N/A
1970,"Hi, Mom!",Yes,Brian De Palma,7.3,0,0,#N/A
1971,Born to Win,Yes,Ivan Passer,3.1,0,0,#N/A
1971,The Gang That Couldn't Shoot Straight,Yes,James Goldstone,4.0,0,0,#N/A
1971,Jennifer on My Mind,Yes,Noel Black,#N/A,0,0,#N/A
1973,Bang the Drum Slowly,Yes,John D. Hancock,4.5,1,1,#N/A
1973,Mean Streets,Yes,Martin Scorsese,6.7,4,3,32645
1974,The Godfather Part II,Yes,Francis Ford Coppola,9.6,3,1,47542841
1976,The Last Tycoon,Yes,Elia Kazan,3.7,2,1,1819912
1976,Taxi Driver,Yes,Martin Scorsese,6.1,8,5,28262574
1976,1900,Yes,Bernardo Bertolucci,5.7,1,1,#N/A
1977,"New York, New York",Yes,Martin Scorsese,5.7,2,1,16400000
1978,The Deer Hunter,Yes,Michael Cimino,6.5,8,2,48979328
1980,Raging Bull,Yes,Martin Scorsese,6.5,11,6,23383987
1981,True Confessions,Yes,Ulu Grosbard,6.9,1,1,12850276
1983,The King of Comedy,Yes,Martin Scorsese,6.0,2,0,2536242
1984,Falling in Love,Yes,Ulu Grosbard,3.8,1,1,11129057
1984,Once Upon a Time in America,Yes,Sergio Leone,6.4,2,2,5321508
1985,Brazil,Yes,Terry Gilliam,9.8,0,0,9929135
1986,The Mission,Yes,Roland Joffé,4.5,1,0,17218023
1987,Angel Heart,Yes,Alan Parker,5.8,1,0,17185632
1987,The Untouchables,Yes,Brian De Palma,8.2,0,0,76270454
1988,Midnight Run,Yes,Martin Brest,5.0,2,0,38413606
1989,We're No Angels,Yes,Neil Jordan,5.0,0,0,10555348
1989,Jacknife,Yes,David Jones,6.1,0,0,2049769
1990,Stanley & Iris,Yes,Martin Ritt,3.6,0,0,5820015
1990,Awakenings,Yes,Penny Marshall,6.5,5,2,52096475
1990,Goodfellas,Yes,Martin Scorsese,7.1,4,1,46836214
1991,Guilty by Suspicion,Yes,Irwin Winkler,6.1,0,0,9480198
1991,Cape Fear,Yes,Martin Scorsese,6.3,9,1,79091969
1991,Backdraft,Yes,Ron Howard,7.4,0,0,77868585
1992,Mistress,Yes,Barry Primus,3.3,0,0,1102469
1992,Night and the City,Yes,Irwin Winkler,5.7,0,0,6202756
1993,This Boy's Life,Yes,Michael Caton-Jones,4.9,0,0,4104962
1993,Mad Dog and Glory,Yes,John McNaughton,5.4,0,0,11081586
1993,A Bronx Tale,Yes,Himself,6.4,0,0,17287898
1994,Mary Shelley's Frankenstein,Yes,Kenneth Branagh,4.2,2,0,22006296
1995,Heat,Yes,Michael Mann,3.8,0,0,67436818
1995,Casino,Yes,Martin Scorsese,5.9,1,0,42512375
1995,One Hundred and One Nights,Yes,Agnès Varda,#N/A,0,0,#N/A
1996,The Fan,Yes,Tony Scott,4.0,1,0,18626419
1996,Marvin's Room,Yes,Jerry Zaks,5.5,1,0,12803305
1996,Sleepers,Yes,Barry Levinson,7.3,0,0,53315285
1997,Cop Land,Yes,James Mangold,4.8,0,0,44862187
1997,Jackie Brown,Yes,Quentin Tarantino,5.6,0,0,39673162
1997,Wag the Dog,Yes,Barry Levinson,8.6,1,0,43061945
1998,Ronin,Yes,John Frankenheimer,5.1,1,0,41616262
1998,Great Expectations,Yes,Alfonso Cuarón,5.3,1,0,26420672
1999,Analyze This,Yes,Harold Ramis,4.3,3,1,106885658
1999,Flawless,Yes,Joel Schumacher,4.5,0,0,4488529
2000,Men of Honor,Yes,George Tillman Jr.,3.6,0,0,48818921
2000,Meet the Parents,Yes,Jay Roach,4.0,5,1,166244045
2000,The Adventures of Rocky and Bullwinkle,Yes,Des McAnuff,4.3,0,0,26005820
2001,15 Minutes,Yes,John Herzfeld,3.3,0,0,24403552
2001,The Score,Yes,Frank Oz,4.0,0,0,71107711
2002,Showtime,Yes,Tom Dey,4.6,1,0,38082712
2002,Analyze That,Yes,Harold Ramis,4.7,0,0,32130627
2002,City by the Sea,Yes,Michael Caton-Jones,5.0,0,0,22448879
2004,The Bridge of San Luis Rey,Yes,Mary McGuckian,2.8,0,0,49981
2004,Godsend,Yes,Nick Hamm,3.3,0,0,14379751
2004,Shark Tale,Yes,Bibo Bergeron,4.9,0,0,160861908
2004,Meet the Fockers,Yes,Jay Roach,4.9,0,0,279261160
2005,Hide and Seek,Yes,John Polson,3.7,0,0,51100486
2006,The Good Shepherd,Yes,Himself,5.4,2,1,59952835
2006,Arthur and The Invisibles,Yes,Luc Besson,2.2,0,0,15132763
2007,Stardust,Yes,Matthew Vaughn,5.8,0,0,38634938
2008,Righteous Kill,Yes,Jon Avnet,4.2,1,1,40081410
2008,What Just Happened,Yes,Barry Levinson,5,0,0,1090947
2009,Everybody's Fine,Yes,Kirk Jones,4.7,2,1,9208876
2010,Little Fockers,Yes,Paul Weitz,3.5,0,0,148438600
2010,Stone,Yes,John Curran,4.8,0,0,1810078
2010,Machete,Yes,Ethan Maniquis,5.5,0,0,26593646
2011,New Year's Eve,Yes,Garry Marshall,3.3,0,0,54544638
2011,Killer Elite,Yes,Gary McKendry,4.3,0,0,25124966
2011,Limitless,Yes,Neil Burger,5.1,0,0,79249455
2011,The Ages of Love,Yes,Giovanni Veronesi,3.6,0,0,12493369
2012,Red Lights,Yes,Rodrigo Cortés,3.9,0,0,673828
2012,Being Flynn,Yes,Paul Weitz,5.0,0,0,540152
2012,Silver Linings Playbook,Yes,David O. Russell,6.4,22,5,132092958
2012,Freelancers,Yes,Jessy Terrero,3,0,0,456350
2013,The Big Wedding,Yes,Justin Zackham,3.0,0,0,21819348
2013,Killing Season,Yes,Mark Steven Johnson,3.0,0,0,39881
2013,Grudge Match,Yes,Peter Segal,4.0,0,0,29807260
2013,The Family,Yes,Luc Besson,4.2,0,0,346730
2013,Last Vegas,Yes,Jon Turteltaub,4.4,0,0,63914167
2013,American Hustle,Yes,David O. Russell,6.2,3,1,150117807
2014,The Bag Man,Yes,David Grovic,3.6,0,0,56574
2015,Heist,Yes,Scott Mann,3.8,0,0,23510841
2015,The Intern,Yes,Nancy Meyers,4.3,2,0,75764672
2015,Joy,Yes,David O. Russell,4.4,1,0,56451232
2016,Dirty Grandpa,Yes,Dan Mazer,2.6,1,0,35593113
2016,The Comedian,Yes,Taylor Hackford,3.7,1,1,1659002
2016,Hands of Stone,Yes,Jonathan Jakubowicz,4.3,0,0,4712792
2019,Joker,Yes,Todd Phillips,4.8,3,1,335477657
2019,The Irishman,Yes,Martin Scorsese,5.7,24,0,968853
2020,The Comeback Trail,Yes,George Gallo,3,0,0,2407255
2020,The War with Grandpa,Yes,Tim Hill,2.9,0,0,21277892